Date,Cases,Cumulative_cases,Country
2022-03-29,0,1,Cameroon
2022-03-30,0,1,Cameroon
2022-03-31,0,1,Cameroon
2022-04-01,0,1,Cameroon
2022-04-02,0,1,Cameroon
2022-04-03,0,1,Cameroon
2022-04-04,0,1,Cameroon
2022-04-05,0,1,Cameroon
2022-04-06,0,1,Cameroon
2022-04-07,0,1,Cameroon
2022-04-08,0,1,Cameroon
2022-04-09,0,1,Cameroon
2022-04-10,0,1,Cameroon
2022-04-11,0,1,Cameroon
2022-04-12,0,1,Cameroon
2022-04-13,0,1,Cameroon
2022-04-14,0,1,Cameroon
2022-04-15,0,1,Cameroon
2022-04-16,0,1,Cameroon
2022-04-17,0,1,Cameroon
2022-04-18,0,1,Cameroon
2022-04-19,0,1,Cameroon
2022-04-20,0,1,Cameroon
2022-04-21,0,1,Cameroon
2022-04-22,0,1,Cameroon
2022-04-23,0,1,Cameroon
2022-04-24,0,1,Cameroon
2022-04-25,0,1,Cameroon
2022-04-26,0,1,Cameroon
2022-04-27,0,1,Cameroon
2022-04-28,0,1,Cameroon
2022-04-29,0,1,Cameroon
2022-04-30,0,1,Cameroon
2022-05-01,0,1,Cameroon
2022-05-02,0,1,Cameroon
2022-05-03,0,1,Cameroon
2022-05-04,0,1,Cameroon
2022-05-05,0,1,Cameroon
2022-05-06,0,1,Cameroon
2022-05-07,0,1,Cameroon
2022-05-08,0,1,Cameroon
2022-05-09,0,1,Cameroon
2022-05-10,0,1,Cameroon
2022-05-11,0,1,Cameroon
2022-05-12,0,1,Cameroon
2022-05-13,0,1,Cameroon
2022-05-14,0,1,Cameroon
2022-05-15,0,1,Cameroon
2022-05-16,0,1,Cameroon
2022-05-17,0,1,Cameroon
2022-05-18,0,1,Cameroon
2022-05-19,0,1,Cameroon
2022-05-20,0,1,Cameroon
2022-05-21,0,1,Cameroon
2022-05-22,0,1,Cameroon
2022-05-23,0,1,Cameroon
2022-05-24,0,1,Cameroon
2022-05-25,0,1,Cameroon
2022-05-26,0,1,Cameroon
2022-05-27,0,1,Cameroon
2022-05-28,0,1,Cameroon
2022-05-29,2,3,Cameroon
2022-05-30,0,3,Cameroon
2022-05-31,0,3,Cameroon
2022-06-01,0,3,Cameroon
2022-06-02,0,3,Cameroon
2022-06-03,0,3,Cameroon
2022-06-04,0,3,Cameroon
2022-06-05,0,3,Cameroon
2022-06-06,0,3,Cameroon
2022-06-07,0,3,Cameroon
2022-06-08,0,3,Cameroon
2022-06-09,0,3,Cameroon
2022-06-10,0,3,Cameroon
2022-06-11,0,3,Cameroon
2022-06-12,0,3,Cameroon
2022-06-13,0,3,Cameroon
2022-06-14,0,3,Cameroon
2022-06-15,0,3,Cameroon
2022-06-16,0,3,Cameroon
2022-06-17,0,3,Cameroon
2022-06-18,0,3,Cameroon
2022-06-19,0,3,Cameroon
2022-06-20,0,3,Cameroon
2022-06-21,0,3,Cameroon
2022-06-22,0,3,Cameroon
2022-06-23,0,3,Cameroon
2022-06-24,0,3,Cameroon
2022-06-25,0,3,Cameroon
2022-06-26,0,3,Cameroon
2022-06-27,0,3,Cameroon
2022-06-28,0,3,Cameroon
2022-06-29,0,3,Cameroon
2022-06-30,0,3,Cameroon
2022-07-01,0,3,Cameroon
2022-07-02,0,3,Cameroon
2022-07-03,0,3,Cameroon
2022-07-04,0,3,Cameroon
2022-07-05,0,3,Cameroon
2022-07-06,0,3,Cameroon
2022-07-07,0,3,Cameroon
2022-07-08,0,3,Cameroon
2022-07-09,0,3,Cameroon
2022-07-10,0,3,Cameroon
2022-07-11,0,3,Cameroon
2022-07-12,0,3,Cameroon
2022-05-19,2,2,Canada
2022-05-20,3,5,Canada
2022-05-21,0,5,Canada
2022-05-22,0,5,Canada
2022-05-23,10,15,Canada
2022-05-24,0,15,Canada
2022-05-25,0,15,Canada
2022-05-26,11,26,Canada
2022-05-27,0,26,Canada
2022-05-28,0,26,Canada
2022-05-29,0,26,Canada
2022-05-30,0,26,Canada
2022-05-31,1,27,Canada
2022-06-01,27,54,Canada
2022-06-02,23,77,Canada
2022-06-03,3,80,Canada
2022-06-04,0,80,Canada
2022-06-05,0,80,Canada
2022-06-06,1,81,Canada
2022-06-07,20,101,Canada
2022-06-08,1,102,Canada
2022-06-09,11,113,Canada
2022-06-10,3,116,Canada
2022-06-11,0,116,Canada
2022-06-12,0,116,Canada
2022-06-13,8,124,Canada
2022-06-14,34,158,Canada
2022-06-15,0,158,Canada
2022-06-16,9,167,Canada
2022-06-17,10,177,Canada
2022-06-18,0,177,Canada
2022-06-19,0,177,Canada
